 player_id,full_name,position
00-0030228,A.J. Bouye,CB
00-0020305,A.J. Feeley,UNK
00-0027942,A.J. Green,WR
00-0024220,A.J. Hawk,OLB
00-0027350,A.J. Jefferson,UNK
00-0030463,A.J. Klein,MLB
00-0031288,AJ McCarron,QB
00-0027129,Aaron Brown,UNK
00-0031259,Aaron Colvin,CB
00-0026981,Aaron Curry,UNK
00-0030540,Aaron Dobson,WR
00-0031388,Aaron Donald,DT
00-0023213,Aaron Francisco,UNK
00-0027713,Aaron Hernandez,UNK
00-0021269,Aaron Kampman,UNK
00-0030993,Aaron Lynch,OLB
00-0023459,Aaron Rodgers,QB
00-0025407,Aaron Ross,UNK
00-0027972,Aaron Williams,SS
00-0023405,Abram Elam,UNK
00-0030550,Ace Sanders,UNK
00-0025569,Adam Hayward,OLB
00-0023441,Adam Jones,CB
00-0025488,Adam Podlesh,UNK
00-0016919,Adam Vinatieri,UNK
00-0027958,Adrian Clayborn,DE
00-0025394,Adrian Peterson,RB
00-0020505,Adrian Wilson,UNK
00-0025637,Ahmad Bradshaw,UNK
00-0024495,Ahmad Brooks,OLB
00-0026330,Ahtyba Rubin,DT
00-0027977,Akeem Ayers,OLB
00-0028029,Akeem Dent,ILB
00-0025719,Akeem Jordan,UNK
00-0030402,Akeem Spence,DT
00-0029657,Akiem Hicks,DE
00-0021214,Akin Ayodele,UNK
00-0027726,Akwasi Owusu-Ansah,UNK
00-0026936,Al Afalava,UNK
00-0027723,Al Woods,NT
00-0025624,Alan Ball,UNK
00-0025420,Alan Branch,DT
00-0021149,Albert Haynesworth,UNK
00-0027560,Albert McClellan,UNK
00-0030669,Albert Wilson,WR
00-0025955,Albert Young,UNK
00-0027945,Aldon Smith,OLB
00-0028116,Aldrick Robinson,WR
00-0030527,Alec Ogletree,OLB
00-0021228,Alex Brown,UNK
00-0027677,Alex Carrington,UNK
00-0028034,Alex Green,UNK
00-0028058,Alex Henery,UNK
00-0030503,Alex Okafor,OLB
00-0023506,Alex Smith,UNK
00-0023436,Alex Smith,QB
00-0029623,Alex Tanney,QB
00-0027346,Alfonso Smith,UNK
00-0029596,Alfonzo Dennard,UNK
00-0031075,Alfred Blue,RB
00-0029141,Alfred Morris,RB
00-0028024,Allen Bailey,DE
00-0028125,Allen Bradford,UNK
00-0030821,Allen Hurns,WR
00-0031428,Allen Robinson,WR
00-0027013,Alphonso Smith,UNK
00-0029137,Alshon Jeffery,WR
00-0027705,Alterraun Verner,CB
00-0031544,Amari Cooper,WR
00-0027671,Amari Spievey,UNK
00-0032104,Ameer Abdullah,RB
00-0025397,Amobi Okoye,UNK
00-0021257,Andra Davis,UNK
00-0029600,Andre Branch,DE
00-0027094,Andre Brown,UNK
00-0026237,Andre Caldwell,UNK
00-0020489,Andre Carter,UNK
00-0030287,Andre Ellington,RB
00-0026227,Andre Fluellen,UNK
00-0031087,Andre Hal,FS
00-0028263,Andre Holmes,WR
00-0022044,Andre Johnson,UNK
00-0027691,Andre Roberts,WR
00-0031055,Andre Williams,RB
00-0021194,Andre' Goodman,UNK
00-0031718,Andrew Franks,K
00-0028172,Andrew Gachkar,OLB
00-0027918,Andrew Hawkins,WR
00-0029668,Andrew Luck,QB
00-0027753,Andrew Quarless,UNK
00-0027914,Andrew Sendejo,UNK
00-0027973,Andy Dalton,QB
00-0022824,Andy Lee,P
00-0026343,Andy Studebaker,UNK
00-0022084,Anquan Boldin,UNK
00-0022085,Anthony Adams,UNK
00-0028163,Anthony Allen,UNK
00-0026465,Anthony Armstrong,UNK
00-0031256,Anthony Barr,OLB
00-0027772,Anthony Dixon,UNK
00-0024268,Anthony Fasano,TE
00-0022753,Anthony Hargrove,UNK
00-0031348,Anthony Hitchens,MLB
00-0027539,Anthony Levine,CB
00-0027783,Anthony McCoy,UNK
00-0028074,Anthony Sherman,FB
00-0024298,Anthony Smith,UNK
00-0025413,Anthony Spencer,UNK
00-0024421,Antoine Bethea,SS
00-0026167,Antoine Cason,UNK
00-0018093,Antoine Winfield,UNK
00-0026855,Antone Smith,UNK
00-0029553,Antonio Allen,DB
00-0030789,Antonio Andrews,RB
00-0027793,Antonio Brown,WR
00-0024234,Antonio Cromartie,UNK
00-0022169,Antonio Garay,UNK
00-0021547,Antonio Gates,TE
00-0025539,Antonio Johnson,UNK
00-0022793,Antonio Smith,UNK
00-0023443,Antrel Rolle,SS
00-0021190,Antwaan Randle El,UNK
00-0024734,Antwan Applewhite,UNK
00-0025521,Antwan Barnes,UNK
00-0029050,Antwon Blake,DB
00-0026160,Aqib Talib,CB
00-0026796,Arian Foster,UNK
00-0028565,Armando Allen,UNK
00-0027692,Armanti Edwards,UNK
00-0028706,Armond Smith,UNK
00-0022064,Arnaz Battle,UNK
00-0027654,Arrelious Benn,WR
00-0027756,Arthur Jones,DE
00-0027777,Arthur Moats,OLB
00-0021956,Asante Samuel,UNK
00-0027058,Asher Allen,UNK
00-0026635,Ashlee Palmer,UNK
00-0023404,Atari Bigby,UNK
00-0022147,Aubrayo Franklin,UNK
00-0029578,Audie Cole,MLB
00-0027752,Austen Lane,UNK
00-0027092,Austin Collie,UNK
00-0028957,Austin Davis,QB
00-0028016,Austin Pettis,UNK
00-0031263,Avery Williamson,ILB
00-0030120,B.J. Daniels,QB
00-0026985,B.J. Raji,UNK
00-0030289,Bacarri Rambo,UNK
00-0030558,Barkevious Mingo,OLB
00-0023471,Barrett Ruud,UNK
00-0027416,Barry Church,SS
00-0024339,Barry Cofield,UNK
00-0020873,Bart Scott,UNK
00-0031052,Bashaud Breeland,CB
00-0027007,Beanie Wells,UNK
00-0026931,Bear Pascoe,UNK
00-0022954,Ben Graham,UNK
00-0021197,Ben Leber,UNK
00-0024463,Ben Obomanu,UNK
00-0022924,Ben Roethlisberger,QB
00-0027890,Ben Tate,UNK
00-0025860,BenJarvus Green-Ellis,UNK
00-0031262,Bene' Benwikere,CB
00-0022943,Benjamin Watson,TE
00-0030507,Bennie Logan,NT
00-0029795,Benny Cunningham,RB
00-0022352,Benny Sapp,UNK
00-0022807,Bernard Berrian,UNK
00-0029264,Bernard Pierce,UNK
00-0024269,Bernard Pollard,UNK
00-0026941,Bernard Scott,UNK
00-0028064,Bilal Powell,RB
00-0023679,Billy Bajema,UNK
00-0020972,Billy Cundiff,UNK
00-0019041,Billy Volek,UNK
00-0029303,Billy Winn,UNK
00-0031413,Bishop Sankey,RB
00-0030563,Bjoern Werner,UNK
00-0027948,Blaine Gabbert,QB
00-0029576,Blair Walsh,K
00-0027477,Blair White,UNK
00-0031407,Blake Bortles,QB
00-0024129,Blake Costanzo,UNK
00-0030541,Blidi Wreh-Wilson,FS
00-0023612,Bo Scaife,UNK
00-0024233,Bobby Carpenter,UNK
00-0029384,Bobby Rainey,RB
00-0022144,Bobby Wade,UNK
00-0029255,Bobby Wagner,MLB
00-0026946,Brad Jones,UNK
00-0010609,Brad Maynard,UNK
00-0029304,Brad Nortman,P
00-0024318,Brad Smith,UNK
00-0030292,Brad Sorensen,UNK
00-0030142,Brad Wing,P
00-0022137,Bradie James,UNK
00-0027041,Bradley Fletcher,UNK
00-0030161,Bradley McDougald,FS
00-0032065,Bradley Pinion,P
00-0031372,Bradley Roby,FS
00-0023559,Brady Poppinga,UNK
00-0025409,Brady Quinn,UNK
00-0031277,Branden Oliver,RB
00-0028601,Brandian Ross,UNK
00-0031236,Brandin Cooks,WR
00-0027618,Brandon Banks,UNK
00-0029239,Brandon Bolden,RB
00-0029416,Brandon Boykin,DB
00-0023013,Brandon Browner,CB
00-0026280,Brandon Carr,CB
00-0025612,Brandon Fields,UNK
00-0026175,Brandon Flowers,CB
00-0026937,Brandon Gibson,UNK
00-0027865,Brandon Graham,OLB
00-0027998,Brandon Harris,UNK
00-0025450,Brandon Jackson,UNK
00-0023545,Brandon Jacobs,UNK
00-0024356,Brandon Johnson,UNK
00-0027681,Brandon LaFell,WR
00-0022097,Brandon Lloyd,UNK
00-0029620,Brandon Marshall,UNK
00-0024334,Brandon Marshall,WR
00-0025527,Brandon McDonald,UNK
00-0023354,Brandon McGowan,UNK
00-0029822,Brandon McManus,K
00-0025472,Brandon Mebane,DT
00-0025411,Brandon Meriweather,UNK
00-0027135,Brandon Myers,TE
00-0026996,Brandon Pettigrew,TE
00-0025627,Brandon Siler,UNK
00-0027668,Brandon Spikes,UNK
00-0015754,Brandon Stokley,UNK
00-0027057,Brandon Tate,WR
00-0029677,Brandon Weeden,QB
00-0030511,Brandon Williams,NT
00-0023438,Braylon Edwards,UNK
00-0000551,Brendon Ayanbadejo,UNK
00-0025549,Brent Celek,TE
00-0024183,Brent Grimes,DB
00-0029394,Brenton Bersin,UNK
00-0005106,Brett Favre,UNK
00-0028540,Brett Hartmann,UNK
00-0021344,Brett Keisel,UNK
00-0025825,Brett Kern,P
00-0025694,Brett Ratliff,UNK
00-0026196,Brian Brohm,UNK
00-0026991,Brian Cushing,ILB
00-0004073,Brian Dawkins,UNK
00-0027077,Brian Hartline,WR
00-0026625,Brian Hoyer,QB
00-0024100,Brian Iwuh,UNK
